0,3184,2,341,4495,11,299,20,2234,0,56,22,84,414,1164,77,627
3184,0,0,202,1519,3,1429,54,2296,1,297,5,138,1230,2987,139,729
2,0,0,3683,806,8168,4639,295,0,0,1770,2944,125,79,10,593,130
341,202,3683,0,2459,10657,3341,114,16,0,419,8714,407,3787,189,960,2530
4495,1519,806,2459,0,2224,610,58,7832,2,957,5048,543,1284,2138,2877,2194
11,3,8168,10657,2224,0,2208,150,12,0,742,11942,1397,569,40,773,1443
299,1429,4639,3341,610,2208,0,6530,544,756,2910,4628,665,1136,72,4216,2897
20,54,295,114,58,150,6530,0,33,2435,1138,7112,3955,253,13,8143,3589
2234,2296,0,16,7832,12,544,33,0,96,3,157,734,176,1847,62,2036
0,1,0,0,2,0,756,2435,96,0,0,1090,922,5,0,1909,762
56,297,1770,419,957,742,2910,1138,3,0,0,1211,30,88,946,3964,28
22,5,2944,8714,5048,11942,4628,7112,157,1090,1211,0,7190,1099,102,8148,3708
84,138,125,407,543,1397,665,3955,734,922,30,7190,0,1272,15,3072,2709
414,1230,79,3787,1284,569,1136,253,176,5,88,1099,1272,0,139,1170,3761
1164,2987,10,189,2138,40,72,13,1847,0,946,102,15,139,0,971,163
77,139,593,960,2877,773,4216,8143,62,1909,3964,8148,3072,1170,971,0,3434
627,729,130,2530,2194,1443,2897,3589,2036,762,28,3708,2709,3761,163,3434,0
